Name,SMILES
,CC(=O)OCC1(C)C(OC(C)=O)CCC2(C)C3C(=O)C4=C(CC(c5cccnc5)OC4=O)OC3(C)C(OC(C)=O)=CC12
,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](C[C@H](OC(C)=O)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)[C@H]23)[C@]1(C)COC(=O)C(C)C
00048001.cdx,CC(=O)OC[C@](C)(OC(C)=O)[C@@H]1C[C@@H]2[C@@H](O)c3c(cc(-c4cccnc4)oc3=O)O[C@@]2(C)[C@H](OC(C)=O)C1
00055001.cdx,CC(=O)OC[C@](C)(O)[C@H]1C[C@@H](O)[C@]2(C)Oc3cc(-c4cccnc4)oc(=O)c3[C@H](O)[C@H]2C1
00039001.cdx,CC(=O)OCC(C)(OC(C)=O)[C@@H]1C[C@H](OC(=O)c2ccc(C#N)cc2)[C@@]2(C)Oc3cc(-c4cccnc4)oc(=O)c3[C@@H](OC(C)=O)[C@@H]2C1
00049001.cdx,CC(=O)OC[C@](C)(OC(C)=O)[C@H]1C[C@@H](OC(C)=O)[C@]2(C)Oc3cc(-c4cccnc4)oc(=O)c3[C@@H](O)[C@@H]2C1
00049001.cdx,CC(=O)OC[C@](C)(OC(C)=O)[C@H]1C[C@@H](OC(C)=O)[C@]2(C)Oc3cc(-c4cccnc4)oc(=O)c3[C@@H](O)[C@@H]2C1
00038001.cdx,CC(O)(COC(=O)c1ccc(C#N)cc1)[C@@H]1C[C@H](O)[C@@]2(C)Oc3cc(-c4cccnc4)oc(=O)c3C(=O)[C@@H]2C1
00026001.cdx,CCCCCCCCCCCCS[C@H](C(=O)Nc1cc(C)c(O)c(C)c1C)c1ccccc1
,C[C@@]12CO[C@@H](c3ccccc3)O[C@H]1CC[C@@]1(C)[C@H]2C[C@H](OC(=O)c2ccccc2Cl)[C@@]2(C)Oc3cc(-c4cccnc4)oc(=O)c3[C@H](O)[C@H]12
00038001.cdx,CC(O)(COC(=O)c1ccc(C#N)cc1)[C@@H]1C[C@H](O)[C@@]2(C)Oc3cc(-c4cccnc4)oc(=O)c3C(=O)[C@@H]2C1
,COc1ccc(CNC(=O)[C@]2(C)[C@@H](OC(C)=O)CC[C@]3(C)[C@H]4[C@@H](O)c5c(cc(-c6cccnc6)oc5=O)O[C@]4(C)[C@@H](OC(=O)c4ccc(C#N)cc4)C[C@H]32)c(OC)c1
00036003.cdx,CC(=O)OCC(C)(OC(C)=O)[C@@H]1C[C@H](OC(C)=O)[C@@]2(C)Oc3cc(-c4cccnc4)oc(=O)c3[C@@H](O)[C@@H]2C1
00036003.cdx,CC(=O)OCC(C)(OC(C)=O)[C@@H]1C[C@H](OC(C)=O)[C@@]2(C)Oc3cc(-c4cccnc4)oc(=O)c3[C@@H](O)[C@@H]2C1
 ,CCCCCCCC/C=C\CCCCCCCC(=O)Nc1ccccc1
 ,CCCCCCCC/C=C\CCCCCCCC(=O)Nc1ccccc1
,CC(=O)OCC1(C)C(OC(C)=O)CCC2(C)C1CC(OC(C)=O)C1(C)Oc3cc(-c4cccnc4)oc(=O)c3C(O)C21
,CC(=O)OC[C@@]1(C)[C@@H]2C[C@H](OC(=O)c3ccc(N)cc3)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)[C@@H]3[C@@]2(C)CC[C@@H]1OC(C)=O
