mol_bdID,mol_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
50004400,CCCCCCCN(CCCCCSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)C(=O)Nc1ccc(F)cc1F,active,590.7840000000002,9.788799999999998,2.0,3.0,8.0
50004869,CCCCCCCCCCCCn1nnc(C(C(=O)Nc2c(C(C)C)cccc2C(C)C)c2ccccc2)n1,active,531.7890000000002,8.611400000000005,1.0,5.0,8.0
330421,CC(C)c1cccc(C(C)C)c1NC(=O)CC(=O)C(Cc1ccccc1)Cc1ccc(O)cc1,active,457.61400000000015,6.638300000000006,2.0,3.0,7.987162775294828
50648006,O=C1c2c(c(=O)n3nc(-c4ccccc4)cc3n2CSc2ccccc2)CN1C1CCCCC1,active,470.59800000000035,5.201300000000004,0.0,6.0,7.958607314841775
50835205,CCCCn1c(=O)c(NC(=O)Nc2c(C(C)C)cccc2C(C)C)c(-c2cccc(OC)c2)c2cccnc21,active,526.6810000000002,7.763000000000008,2.0,5.0,7.958607314841775
50051803,CCCCCCCN(CCCCCSc1nc(-c2ccc(OC)cc2)c(-c2ccc(OC)cc2)[nH]1)C(=O)CC1CCCCC1,active,619.9159999999998,9.7927,1.0,5.0,7.958607314841775
51053335,CCc1ccc(C(=O)O[C@H]2C[C@H]3[C@](C)(COC(C)=O)[C@@H](OC(C)=O)CC[C@]3(C)[C@H]3[C@@H](O)c4c(cc(-c5cccnc5)oc4=O)O[C@]23C)cc1,active,673.7590000000002,5.611600000000006,1.0,11.0,6.721246399047171
50602975,CCCc1c(-c2nc(N(C)C)no2)c(C(=O)OCC)c2c(-c3ccccc3)cc(N3CCOCC3)nn12,active,504.5910000000003,4.083100000000003,0.0,10.0,6.721246399047171
50529979,COc1cccc(C2(CNC(=O)Nc3c(C(C)C)cc(N)cc3C(C)C)CCN(c3ccccc3OCCCN)CC2)c1,active,587.809,6.611700000000006,4.0,6.0,6.709965388637482
50084179,CCCCCCCCCCCCn1nnc(C(C(=O)Nc2c(OC)cc(OC)cc2OC)c2ccc(OC)cc2)n1,active,567.7310000000002,6.399000000000006,1.0,9.0,6.698970004336019
