mol_bdID,mol_smiles,bioactivity_class,mol_IC50
50474844,CCCCO[C@H]1CC[C@@]2(C)C(C[C@H](OC(C)=O)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)C23)C1(C)COC(C)=O,active,200.0
50051733,CCCCCCCN(CCCCCSc1nc(-c2ccco2)c(-c2ccco2)[nH]1)C(=O)Nc1ccc(F)cc1F,active,200.0
50004283,CCCCCCCN(CCCCCSc1[nH]cnc2ncnc1-2)C(=O)Nc1ccc(F)cc1F,active,200.0
50107716,CCCCCCCCCCCCCCCCCCOC(=O)C(C(=O)Nc1c(C(C)C)cccc1C(C)C)c1ccccc1,active,200.0
51053323,CC(=O)OC[C@@]1(C)[C@@H]2C[C@H](OC(=O)c3cccc(Cl)c3)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)[C@@H]3[C@@]2(C)CC[C@@H]1OC(C)=O,active,210.0
50762093,c1ccc(-c2nc(SCC3CCCCO3)[nH]c2-c2ccccc2)cc1,active,210.0
50060993,O=C(Nc1ccc(F)cc1F)Nc1cnc2ccc(Cl)cc2c1-c1ccccc1,active,215.0
50602908,CCOC(=O)c1c(C(=O)OCC)c2c(-c3ccccc3)cc(N3CCOCC3)nn2c1-c1ccc(Cl)cc1,active,220.0
50084901,CN(CCCCC1(C)COC(c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)OC1)Cc1ccccc1,active,220.0
50004399,COc1ccc(-c2nc(SCCCCCSc3nc(-c4ccc(OC)cc4)c(-c4ccc(OC)cc4)[nH]3)[nH]c2-c2ccc(OC)cc2)cc1,active,220.0
50084178,CCCCCCCCCCCCn1nnc(C(C(=O)Nc2c(OC)cc(OC)cc2OC)c2ccc(-c3ccccc3)cc2)n1,active,221.0
50762066,CC(C)c1ccc(-c2nc(SC[C@H]3C[C@@](C)(O)CC(=O)O3)[nH]c2-c2ccc(C(C)C)cc2)cc1,active,230.0
50602957,CCCc1c(-c2nc(C3CCCC3)no2)c(C(=O)OCC)c2c(-c3ccccc3)cc(N3CCOCC3)nn12,active,230.0
50779811,CC(C)c1cccc(C(C)C)c1NC(=O)NS(=O)(=O)N(C1CCCCC1)C1CCCCC1,active,230.0
50768357,CCCCCCCCCCCCCCCCCCNC(CNC(=O)Nc1c(C(C)C)cccc1C(C)C)c1ccccc1,active,230.0
51053337,CC(=O)OC[C@@]1(C)[C@@H]2C[C@H](OC(=O)c3cccc(F)c3)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)[C@@H]3[C@@]2(C)CC[C@@H]1OC(C)=O,active,230.0
51125425,CCC(=O)[C@H](C[C@H](C)C(Cl)(Cl)Cl)NC(=O)[C@H](C[C@H](C)C(Cl)(Cl)Cl)N(C)C,active,230.0
50004390,COc1ccc(-c2nc(SCCCCCn3c(C(C)C)nc4ccccc43)[nH]c2-c2ccc(OC)cc2)cc1,active,230.0
50051778,COc1ccc(-c2nc(SCCCCCN(CCOCCO)C(=O)Nc3ccc(F)cc3F)[nH]c2-c2ccc(OC)cc2)cc1,active,230.0
50082561,O=C(N[C@H]1c2ccccc2C[C@@H]1c1ccc(O)cc1)C(c1ccccc1)c1ccccc1,active,230.0
50058747,CCCCCCCN(CCCCCSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)C(=O)Nc1c(C(C)C)cccc1C(C)C,active,230.0
50529978,COc1cccc(C2(CNC(=O)Nc3c(C(C)C)cc(N)cc3C(C)C)CCN(c3ccccc3OCCCN(C)C)CC2)c1,active,239.0
50005509,CCCCCCCCCCCCn1nnc(N(C(=O)Nc2c(C(C)C)cccc2C(C)C)c2ccccc2)n1,active,240.0
50779817,CC(C)c1cccc(C(C)C)c1NC(=O)NS(=O)(=O)N(C(C)C)C(C)C,active,240.0
50051780,CN(CCSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)CCN(CCN1CCOCC1)C(=O)Nc1ccc(F)cc1F,active,240.0
50004858,CCCCCCCCCCCCn1nnc(C(NC(=O)c2ccccc2[N+](=O)[O-])c2ccccc2)n1,active,240.0
50084208,CCCCCCCCCCCCn1nnc(C(C(=O)NC2CC2)c2ccccc2)n1,active,244.0
50762071,CC(O)(CC(=O)OC(C)(C)C)CC(O)CSc1nc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)[nH]1,active,250.0
51138745,CC(C)c1cccc(C(C)C)c1NC(=O)CN1CCN(CCCSc2nc3ccccc3o2)CC1,active,250.0
50004384,Cc1nc2ccccc2n1CCCSCCCSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1,active,250.0
51053326,CC(=O)OC[C@@]1(C)[C@@H]2C[C@H](OC(=O)c3cccc(I)c3)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)[C@@H]3[C@@]2(C)CC[C@@H]1OC(C)=O,active,250.0
50768348,COc1ccc(C(=O)NC(CNC(=O)Nc2c(C(C)C)cccc2C(C)C)C2CCCCC2)cc1,active,250.0
50046138,Cc1cc(C)n(CCCCC2(C)COC(c3nc(-c4ccccc4)c(-c4ccccc4)[nH]3)OC2)n1,active,250.0
50474014,Cc1cc(C)n(CCCCCSc2nc(-c3ccc(N(C)C)cc3)c(-c3ccc(N(C)C)cc3)[nH]2)n1,active,250.0
50762069,CCOC(CSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)OCC,active,250.0
51138742,CC(C)c1cc(C(C)C)c(NC(=O)CN2CCN(CCSc3nc4ccccc4o3)CC2)c(C(C)C)c1,active,250.0
50004770,CCCCCCCCCCCCn1nnc(C(NC(=O)c2cccc(Cl)c2)c2ccccc2)n1,active,250.0
50004376,COc1ccc(-c2nc(SCCCCCN(CCc3ccccn3)C(=O)NC(C)C)[nH]c2-c2ccc(OC)cc2)cc1,active,260.0
50051816,CCCCCCCN(CCN(C)CCSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)C(=O)NC(C)C,active,260.0
50084909,c1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)cc1,active,260.0
50602978,CCCc1noc(-c2c(C(=O)OCC)c3c(-c4ccccc4)cc(N4CCOCC4)nn3c2CCC)n1,active,260.0
51138743,CC(C)c1cccc(C(C)C)c1NC(=O)CN1CCN(CCSc2nc3ccccc3o2)CC1,active,260.0
51053345,CC(=O)OC[C@@]1(C)[C@@H]2C[C@H](OC(=O)c3ccc(C)cc3)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)[C@@H]3[C@@]2(C)CC[C@@H]1OC(C)=O,active,270.0
50768327,COc1ccc(CNC(CNC(=O)Nc2c(C(C)C)cccc2C(C)C)Cc2ccccc2)cc1,active,270.0
50474833,CCCOCC1(C)C2C[C@H](OC(C)=O)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)C3[C@@]2(C)CC[C@@H]1OC(C)=O,active,270.0
50084201,CCCCCCCCn1nnc(C(C(=O)Nc2c(OC)cc(OC)cc2OC)c2ccccc2)n1,active,270.0
50051766,COc1ccc(-c2nc(SCCCCCN(CCN3CCOCC3)C(=O)Nc3ccc(F)cc3F)[nH]c2-c2ccc(OC)cc2)cc1,active,270.0
50084934,OCC1(CO)COC(c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)OC1,active,275.0
51138732,CC(C)c1cccc(C(C)C)c1NC(=O)CN1CCN(CCSc2nc3ccccc3[nH]2)CC1,active,280.0
50708854,CCCC[C@H](C)[C@@H]1CC(=O)N[C@@H](C(c2ccccc2)c2ccccc2)C2=N[C@H](CO2)C(=O)N[C@H](C2CCCCC2)C(=O)O1,active,280.0
51128105,CC(C)c1cccc(C(C)C)c1NC(=O)CCSc1nc2ccccc2s1,active,280.0
50762080,CO[C@H]1C[C@@](C)(O)C[C@H](CSc2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)O1,active,280.0
50058742,CCCCCCCN(CCCCCCc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)C(=O)Nc1ccc(F)cc1F,active,280.0
50762094,CC1=CC(=O)OC(CSc2nc(-c3ccc(C)cc3)c(-c3ccc(C)cc3)[nH]2)C1,active,280.0
50051819,CCOCCOCCN(CCCCCSc1nc(-c2ccc(SC)cc2)c(-c2ccc(SC)cc2)[nH]1)C(=O)NC(C)C,active,280.0
50762060,CCOC(=O)CC(C)(O)CC(O)CSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1,active,280.0
50009812,CCCCCCCCCCCCCC(=S)Nc1c(C(C)C)cccc1C(C)C,active,281.0
50084942,c1ccc(-c2nc(-c3ccco3)[nH]c2-c2ccccc2)cc1,active,290.0
50477995,CCCCCCCCCCCCn1nnc(N(CCCCCCC)C(=O)Nc2c(OC)cc(OC)cc2OC)n1,active,290.0
50762059,c1ccc(CSc2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)cc1,active,290.0
50084932,CC1(CCCCN2CCOCC2)COC(c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)OC1,active,300.0
50423028,CCCCCCCCN1CCc2c(C)c(CC(=O)O)c(C)c(NC(=O)C(C)(C)C)c21,active,300.0
50082538,O=C(N[C@H]1c2ccccc2CCC[C@@H]1c1ccc(O)cc1)C(c1ccccc1)c1ccccc1,active,300.0
50046144,Cc1cc(C)n(CCCCCS(=O)c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)n1,active,300.0
50004405,CCCCCCCN(CCCCCSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)c1nc2ccccc2o1,active,300.0
50004377,COc1ccc(-c2nc(SCCCCCN(CCc3ccccn3)C(=O)Nc3ccc(F)cc3F)[nH]c2-c2ccc(OC)cc2)cc1,active,300.0
50768292,CC(C)c1cccc(C(C)C)c1NC(=O)NCC(CNC(=O)c1ccccn1)c1ccccc1,active,300.0
50602914,CCCCCc1c(C(=O)OCC)c(C(=O)OCC)c2c(-c3ccccc3)cc(N3CCOCC3)nn12,active,300.0
50969058,Cc1cc2c(c(=O)o1)C=C1CC[C@H](C(C)CNCc3ccc(O)cc3)C[C@@H]1O2,active,300.0
50053391,CCCCCCCCCC[Si](C)(C)CCC(=O)NC(Cc1ccc(C)cc1)c1ccccc1,active,300.0
51128106,CC(C)c1cccc(C(C)C)c1NC(=O)CCCCCCCCSc1nc2ccccc2[nH]1,active,300.0
50084923,CC1(CCCCOCc2ccccc2)COC(c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)OC1,active,300.0
50073273,CCCCc1c(C(=O)OCC)c(C(=O)OCC)c2c(-c3ccccc3)cc(N3CCOCC3)nn12,active,300.0
50073279,CCOC(=O)c1c(C(=O)OCC)c2c(-c3ccccc3)cc(N3CCOCC3)nn2c1-c1ccc(-c2ccccc2)cc1,active,300.0
50004768,CCCCCCCCCCCCn1nnc(C(NC(=O)c2c(C)cccc2C)c2ccccc2)n1,active,310.0
51128112,CC(C)c1cccc(C(C)C)c1NC(=O)CCCCCCSc1nc2ccccc2o1,active,310.0
50004367,c1ccc(-c2nc(SCCCCCSCc3ccccn3)[nH]c2-c2ccccc2)cc1,active,310.0
50602915,CCOC(=O)c1c(C(=O)OCC)c2c(-c3ccccc3)cc(N3CCOCC3)nn2c1-c1cccc(Cl)c1,active,310.0
