,IC50
1215, 43000
1216, 43000
1217, 43000
1218, 44000
1219, 44000
1220, 44660
1221, 45000
1222, 45000
1223, 46110
1224, 48000
1225, 48000
1226, 48400
1227, 49000
1228, 49000
1229, 49000
1230,50000
1231,50000
1232,50000
1233,50000
1234,50000
1235, 50000
1236, 50000
1237,50000
1238,50000
1239,50000
1240,50000
1241,50000
1242,50000
1243,50000
1244,50000
1245, 50000
1246,50000
1247,50000
1248,50000
1249,50000
1250,50000
1251,50000
1252, 50000
1253,50000
1254,50000
1255,50000
1256,50000
1257, 51000
1258, 52000
1259, 52000
1260, 52000
1261, 53000
1262, 53000
1263, 53500
1264, 53700
1265, 54500
1266, 55000
1267, 55000
1268, 55000
1269, 55000
1270, 55100
1271, 55100
1272, 55700
1273, 56000
1274, 56630
1275, 56660
1276, 56800
1277, 57000
1278, 57000
1279, 57600
1280, 58000
1281, 58000
1282, 58000
1283, 59200
1284, 60000
1285, 60000
1286, 60000
1287, 60900
1288, 61000
1289, 62000
1290, 62500
1291,63000
1292, 63000
1293,63900
1294, 64000
1295, 64600
1296, 64710
1297, 65000
1298, 65000
1299, 66000
1300, 66000
1301, 68000
1302, 68400
1303, 69000
1304,69100
1305, 70400
1306,71000
1307,71200
1308, 72000
1309, 72500
1310,72800
1311, 73000
1312, 73000
1313, 74000
1314, 75000
1315, 75000
1316, 76000
1317, 76000
1318, 77000
1319, 77600
1320, 79000
1321, 79000
1322, 79380
1323,80000
1324,80000
1325, 80000
1326, 82000
1327, 82000
1328, 82000
1329, 82400
1330, 83200
1331, 85000
1332, 85000
1333, 86000
1334, 86310
1335, 87000
1336, 87350
1337, 89000
1338, 89600
1339, 90000
1340, 92000
1341, 94800
1342, 95000
1343, 96000
1344, 97000
1345,100000
1346,100000
1347,100000
1348,100000
1349,100000
1350, 100000
1351,100000
1352,100000
1353,100000
1354,100000
1355,100000
1356,100000
1357, 104000
1358, 107700
1359, 110000
1360, 116000
1361, 119000
1362,126300
1363, 128900
1364, 130000
1365, 148000
1366, 150000
1367, 152000
1368, 153700
1369, 154000
1370, 164000
1371, 170000
1372, 174900
1373, 176000
1374,180000
1375, 180000
1376, 186900
1377, 194000
1378,200000
1379,220000
1380, 230000
1381,300000
1382,300000
1383,300000
1384,300000
1385,300000
1386,300000
1387,300000
1388,300000
1389, 328000
1390, 414000
1391, 466000
1392, 468000
1393,1000000
1394,1000000
1395,1000000
